video_id,clip_id,text,label,label_t,label_v,label_a,error
video_0006,4,"现在是关键时刻，大家要团结嘛,啊！",0.0,1.0,-1.0,-0.2,1.0
video_0045,2,纠结两星期了，从演说家都快变成纠结家了,0.0,-0.8,0.8,0.0,0.8
video_0043,62,所以说我已经做好了可能会走的准备,-0.8,0.0,0.0,-0.4,0.8
video_0040,18,检讨人，成冬青,-0.8,0.0,0.0,-0.2,0.8
video_0053,45,我当时就想，他肯定挺累的，而且就这么一段戏，反反复复演了十几二十遍,-0.8,0.0,0.0,-0.4,0.8
video_0002,5,你们就一个球都别想进,0.0,-0.8,-0.8,-0.6,0.8
video_0055,2,我穿不习惯，谢谢,0.0,-0.8,0.8,0.0,0.8
video_0040,49,我带着我们的事业来美国骂我引以为豪的事业,0.4,-0.2,-0.2,0.0,0.6000000000000001
video_0024,112,这些参与者都是刚刚参加完高考，考了高分的学生吗,-0.2,0.4,0.4,0.2,0.6000000000000001
video_0053,43,无论你多恨这个人你们以前有多么深的误会，你只要还爱着这个人，你的眼睛是藏不住的,0.6,0.0,0.0,0.0,0.6
video_0026,19,你看我这厂子办得好好的，每个月光纯利就几十万，我碰那玩意干嘛,0.0,0.6,0.6,0.4,0.6
video_0054,87,其实第一集才只拍摄了百分之五十吧,-0.4,0.0,0.0,0.0,0.4
video_0047,11,无论凶手是谁，我都希望重判,-0.4,0.0,0.0,-0.4,0.4
video_0027,16,嗯，孩子打架别把大人扯进去，我跟家珍都不知道。,0.0,-0.4,0.4,-0.6,0.4
video_0021,3,看看能不能延缓一下他们的行动,-0.4,0.0,0.0,-0.2,0.4
video_0046,15,如果你不选择他们，我建议你选择我,0.4,0.0,0.0,0.4,0.4
video_0002,2,这菜还没凉，要不吃点？,0.0,0.4,0.4,0.0,0.4
video_0054,69,搞得我比主演还主演怎么回事呢,0.0,-0.4,0.4,0.6,0.4
video_0023,20,你搬走了，也许这就恢复原样了,-0.4,0.0,0.0,-0.6,0.4
video_0047,36,你今天找我来是叙旧吵架还是交易啊,0.0,-0.4,0.4,0.4,0.4
video_0054,85,我拍完那场戏之后我就一直在等,-0.4,0.0,0.0,0.0,0.4
video_0038,5,这么优秀的男人，早就应该结婚生子了,0.0,-0.2,-0.2,0.0,0.2
video_0038,31,谁也联系不上,0.0,-0.2,0.2,-0.2,0.2
video_0047,59,不可能有第三个人出现对吗,-0.2,0.0,0.0,-0.6,0.2
video_0048,16,咱们除了压岁钱就没有别的资金来源吗,0.0,-0.2,-0.2,0.2,0.2
video_0018,3,到了补给站，你自己回吧,0.0,-0.2,-0.2,-0.2,0.2
video_0053,15,而且没有拿出他以往惯用的那些流里流气的东西来演戏,0.0,-0.2,0.2,0.0,0.2
video_0047,60,是黑色曼陀罗，也叫复仇之花,0.0,-0.2,0.2,0.0,0.2
video_0045,14,因为在当艺人的那个阶段，我每天不是这个播音棚就是那个播音棚,0.0,-0.2,0.2,0.0,0.2
video_0045,81,林志颖，你出来给大家示范伏地挺身,-0.2,0.0,0.0,0.0,0.2
video_0024,30,来了，怎么没喝点东西呢？,0.0,-0.2,0.2,0.2,0.2
video_0045,82,一是下，二是上，林志颖，出列,-0.2,0.0,0.0,-0.8,0.2
video_0045,88,我觉得像我一个培训水平这么好的人，讲的内容这么好的人，你们何必在意我的形象,0.0,0.2,-0.2,-0.2,0.2
video_0046,9,如果身材不重要的话，那就请不要把这个作为选择我的理由,0.0,-0.2,-0.2,-0.2,0.2
video_0046,37,后来我才知道她就是好莱坞蒙娜日克瑞斯公司的总裁，是一位著名的导演,0.2,0.0,0.0,0.2,0.2
video_0046,55,因为我以前常常在阳明山跑步，他小时候也常常在阳明山出现,-0.2,0.0,0.0,0.0,0.2
video_0047,17,我们现在可以开始谈话了吗,0.2,0.0,0.0,0.0,0.2
video_0029,1,说你目前最好的选择是退役,-0.2,0.0,0.0,-0.2,0.2
video_0028,5,但是要记住，不管成不成功，行动时间只有15分钟。,-0.2,0.0,0.0,0.0,0.2
video_0043,56,我跟你说一句话啊，我觉得你太在意了,0.0,-0.2,0.2,-0.4,0.2
video_0036,29,世上很多事情，本无对错，做了就不要后悔,-0.2,0.0,0.0,-0.2,0.2
video_0030,20,是我师父的太爷传下来的，有几百年了，咱这800里秦川，恐怕是找不出第二支,0.0,0.2,-0.2,0.0,0.2
video_0056,45,现在知道我是干什么的了吧,0.2,0.0,0.0,0.0,0.2
video_0056,42,这是啥,0.2,0.0,0.0,0.2,0.2
video_0009,5,已经安排他进了高家的赌场。,-0.2,0.0,0.0,-0.2,0.2
video_0054,88,后面还有很多重场戏没有拍,-0.2,0.0,0.0,0.0,0.2
video_0054,148,敏慧，按手印不过是我设下的计谋,-0.2,0.0,0.0,-0.4,0.2
video_0054,95,我当时说，啊，为什么,0.0,-0.2,0.2,-0.2,0.2
video_0054,36,她就跟我说，一个好演员一定要知道找自己好不好看，灯光怎么样,0.2,0.0,0.0,0.4,0.2
video_0043,7,今年没有预算出专辑，得看明年，今年好好拍戏，如果达到一定kpi明年才能出专辑,-0.2,0.0,0.0,0.0,0.2
video_0040,30,说明她没骗你啊，他完全可以一年之后再告诉你,0.0,0.2,-0.2,0.2,0.2
video_0031,26,我是大卫平北将军花木兰。,0.2,0.0,0.0,0.6,0.2
video_0032,17,现场情况不能开枪，沿途设的路障也没能堵着他。,-0.2,0.0,0.0,-0.4,0.2
video_0033,9,是不是有个警察每天晚上来这里买厨师沙拉,0.2,0.0,0.0,0.2,0.2
video_0035,2,法师跨出这扇门，就当从未入过唐宫,-0.2,0.0,0.0,-0.6,0.2
video_0035,6,哪来的动静,-0.2,0.0,0.0,-0.2,0.2
video_0035,7,你说得对，宫里确实有猫,-0.2,0.0,0.0,0.0,0.2
video_0047,51,我不认识他,-0.2,0.0,0.0,-0.2,0.2
